Year,Income,County,,,,
2008,32179,Accomack,,,,
2009,32962,Accomack,,,,
2010,33744,Accomack,,,,
2011,33794,Accomack,,,,
2012,35201,Accomack,,,,
2013,35412,Accomack,,,,
2014,36346,Accomack,,,,
2015,37523,Accomack,,,,
2016,39924,Accomack,,,,
2017,43521,Accomack,,,,
2018,44919,Accomack,,,,
2019,47778,Accomack,,,,
2020,50924,Accomack,,,,
2021,56453,Accomack,,,,
2022,54153,Accomack,,,,
2008,55633,Faquier,,,,
2009,53677,Faquier,,,,
2010,55913,Faquier,,,,
2011,58846,Faquier,,,,
2012,60975,Faquier,,,,
2013,58708,Faquier,,,,
2014,59074,Faquier,,,,
2015,62099,Faquier,,,,
2016,63423,Faquier,,,,
2017,66030,Faquier,,,,
2018,67732,Faquier,,,,
2019,70734,Faquier,,,,
2020,74288,Faquier,,,,
2021,79392,Faquier,,,,
2022,82872,Faquier,,,,
2008,25895,Greensville,,,,
2009,25496,Greensville,,,,
2010,25086,Greensville,,,,
2011,26342,Greensville,,,,
2012,26340,Greensville,,,,
2013,26549,Greensville,,,,
2014,27311,Greensville,,,,
2015,27725,Greensville,,,,
2016,28605,Greensville,,,,
2017,29706,Greensville,,,,
2018,30148,Greensville,,,,
2019,31405,Greensville,,,,
2020,35051,Greensville,,,,
2021,39039,Greensville,,,,
2022,39233,Greensville,,,,
2008,45412,Hanover,,,,
2009,43710,Hanover,,,,
2010,44730,Hanover,,,,
2011,46997,Hanover,,,,
2012,48443,Hanover,,,,
2013,48636,Hanover,,,,
2014,51355,Hanover,,,,
2015,54116,Hanover,,,,
2016,55818,Hanover,,,,
2017,57186,Hanover,,,,
2018,58474,Hanover,,,,
2019,60976,Hanover,,,,
2020,65092,Hanover,,,,
2021,69263,Hanover,,,,
2022,72302,Hanover,,,,
2008,30279,Rockingham,,,,
2009,29336,Rockingham,,,,
2010,30568,Rockingham,,,,
2011,31740,Rockingham,,,,
2012,32613,Rockingham,,,,
2013,33047,Rockingham,,,,
2014,34648,Rockingham,,,,
2015,36638,Rockingham,,,,
2016,35729,Rockingham,,,,
2017,37635,Rockingham,,,,
2018,39164,Rockingham,,,,
2019,40536,Rockingham,,,,
2020,43349,Rockingham,,,,
2021,48056,Rockingham,,,,
2022,51466,Rockingham,,,,
2008,27462,Wise,,,,
2009,28646,Wise,,,,
2010,30434,Wise,,,,
2011,31356,Wise,,,,
2012,30612,Wise,,,,
2013,29393,Wise,,,,
2014,30107,Wise,,,,
2015,30451,Wise,,,,
2016,30257,Wise,,,,
2017,30920,Wise,,,,
2018,32442,Wise,,,,
2019,33793,Wise,,,,
2020,37115,Wise,,,,
2021,40444,Wise,,,,
2022,41103,Wise,,,,